Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Arminia,29,15,12,2,54,27,27,57,D D D W D,19560,Fabian Klos - 18,Stefan Ortega,\
2,Stuttgart,29,15,6,8,49,35,14,51,D L L W W,51657,Nicol\'e1s Gonz\'e1lez - 9,Gregor Kobel,\
3,Hamburger SV,29,13,10,6,55,35,20,49,W D D L W,47317,Sonny Kittel - 11,Daniel Heuer Fernandes,\
4,Heidenheim,29,13,9,7,38,29,9,48,W L W D W,11835,Tim Kleindienst - 12,Kevin M\'fcller,\
5,Darmstadt 98,30,10,13,7,39,38,1,43,L W W D L,14286,Serdar Dursun - 13,Marcel Schuhen,\
6,Bochum,30,9,12,9,47,46,1,39,W D W D W,16082,Silv\'e8re Ganvoula M'Boussy - 13,Manuel Riemann,\
7,Hannover 96,29,10,9,10,43,43,0,39,W W D L W,27662,Marvin Ducksch - 9,Ron-Robert Zieler,\
8,Sandhausen,30,9,12,9,37,38,-1,39,L D W W W,7457,Kevin Behrens - 12,Martin Fraisl,\
9,Jahn R'burg,30,10,9,11,45,48,-3,39,D D D D W,10542,Andreas Albers - 8,Alexander Meyer,\
10,Greuther F\'fcrth,29,10,8,11,41,40,1,38,D D L D L,9280,Branimir Hrgota - 9,Sascha Burchert,\
11,Holstein Kiel,29,10,8,11,45,46,-1,38,D D W L L,11407,Lee Jae-sung - 8,Ioannis Gelios,\
12,Erzgebirge Aue,29,10,8,11,39,42,-3,38,L W D L L,10731,Dimitrij Nazarov - 10,Martin M\'e4nnel,\
13,St. Pauli,30,8,11,11,35,39,-4,35,W L D D L,27339,Dimitris Diamantakos - 9,Robin Himmelmann,\
14,Osnabr\'fcck,29,8,10,11,39,42,-3,34,L D L W D,14711,Marcos \'c1lvarez - 13,Philipp K\'fchn,\
15,N\'fcrnberg,30,7,12,11,38,50,-12,33,L D D D D,29618,Robin Hack - 7,Christian Mathenia,\
16,Karlsruher,29,6,12,11,37,48,-11,30,L W D D D,12062,Philipp Hofmann - 13,Benjamin Uphoff,\
17,Wehen,30,7,7,16,37,52,-15,28,W L L L L,4874,Manuel Sch\'e4ffler - 18,Heinz Lindner,\
18,Dynamo Dres,28,7,6,15,28,48,-20,27,W W L L W,27232,Moussa Kon\'e9 - 6,Kevin Broll,}
