Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,MSV Duisburg,30,15,6,9,55,40,15,51,L W L D W,13775,Moritz Stoppelkamp - 14,Leo Weinkauf,\
2,SV Waldhof,30,12,14,4,45,34,11,50,D D L W W,11177,Gianluca Korte - 8,Timo K\'f6nigsmann,\
3,FC Bayern II,30,14,6,10,58,50,8,48,W W W W D,2549,Kwasi Okyere Wriedt - 19,Christian Fr\'fcchtl,\
4,Braunschweig,30,13,9,8,48,41,7,48,W L W W D,18457,Martin Kobyla\uc0\u324 ski - 11,Jasmin Fejzi\u263 ,\
5,Unterhaching,29,12,11,6,43,33,10,47,W L L W L,4664,Dominik Stroh-Engel - 9,Nico Mantl,\
6,W'burg Kickers,30,14,5,11,53,48,5,47,W D W L W,5402,Fabio Kaufmann - 10,Vincent M\'fcller,\
7,1860 Munich,30,12,10,8,50,43,7,46,W W W D L,14923,Sascha M\'f6lders - 13,Marco Hiller,\
8,Ingolstadt 04,29,12,9,8,50,37,13,45,L L D L W,6819,Dennis Eckert - 12,Fabijan Bunti\uc0\u263 ,\
9,Hansa Rostock,30,13,6,11,41,34,7,45,L W D L W,13699,Pascal Breier - 10,Markus Kolke,\
10,Uerdingen,30,12,8,10,35,41,-6,44,L W W D D,3237,Tom Boere - 9,Lukas K\'f6nigshofer,\
11,Meppen,30,11,10,9,51,42,9,43,W D L D L,7717,Deniz Undav - 15,Erik Domaschke,\
12,Kaiserslautern,29,9,11,9,44,46,-2,38,D D D W D,19275,Florian Pick - 11,Lennart Grill,\
13,Viktoria K\'f6ln,30,10,8,12,52,59,-7,38,W W L W L,2860,Albert Bunjaku - 17,Daniel Mesenh\'f6ler,\
14,Magdeburg,30,8,13,9,39,33,6,37,W L L W D,16833,S\'f6ren Bertram Christian Beck - 10,Morten Behrens,\
15,Chemnitzer FC,30,9,10,11,46,47,-1,37,L W W L L,5369,Philipp Hosiner - 16,Jakub Jakubov,\
16,Zwickau,30,9,9,12,47,47,0,36,L L D L W,5572,Elias Huth - 10,Johannes Brinkies,\
17,Hallescher,30,9,6,15,46,53,-7,33,L D L L L,7888,Terrence Boyd - 10,Kai Eisele,\
18,Preu\'dfen M\'fcnster,29,7,9,13,43,53,-10,30,W W L W L,6652,Heinz M\'f6rschel Rufat Dadashov - 6,Maximilian Schulze Niehues,\
19,Gro\'dfaspach,29,6,6,17,24,54,-30,24,L W L L W,2531,Panagiotis Vlachodimos - 5,Maximilian Reule,\
20,Carl Zeiss Jena,29,4,6,19,28,63,-35,18,L L L L D,6105,Daniele Gabriele - 5,Jo Coppens,}
