Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,RB Salzburg,44,28,12,4,148,52,+96,96,D L D L W,11196,Patson Daka - 17,Cican Stankovic,
2,LASK,44,34,6,4,100,40,+60,108,D W W W W,5536,Klauss - 9,Alexander Schlager,
3,Rapid Wien,44,22,14,8,94,52,+42,80,W W D W D,19200,Taxiarchis Fountas - 14,Richard Strebinger,
4,Wolfsberger AC,44,22,12,10,97,53,+44,78,D W L W D,4297,Shon Weissman - 22,Alexander Kofler,
5,Sturm Graz,44,18,10,16,74,56,+18,64,D L W D L,9550,Bekim Balaj Kiril Despodov - 6,Jörg Siebenhandl,
6,Hartberg,44,16,10,18,72,100,-28,58,D L D L L,3442,Dario Tadić - 11,René Swete,
,,,,,,,,,,,,,,
7,Austria Wien,45,11,20,14,67,72,-5,53,D D D D W,8263,Christoph Monschein - 15,Ivan Lucic,
8,SCR Altach,45,14,7,24,69,89,-20,49,D D W L D,4036,Mergim Berisha - 7,Martin Kobras,
9,Admira,45,8,14,23,44,87,-43,38,D L D W L,2493,Sinan Bakış - 11,Andreas Leitner,
10,Mattersburg,45,10,7,28,53,105,-52,37,W D L L D,2589,Andreas Gruber - 9,Markus Kuster,
11,WSG Wattens,45,10,8,27,52,105,-53,38,L W D W L,2958,Zlatko Dedić - 8,Ferdinand Oswald,
12,St. Pölten,45,7,16,22,47,108,-61,37,D L L D W,3497,Pak Kwang-ryong - 5,Christoph Riegler,
