Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Club Brugge,29,21,7,1,58,14,+44,70,D W W W W,25503,Hans Vanaken - 13,Simon Mignolet,
2,Gent,29,16,7,6,59,34,+25,55,D W W L L,18746,Jonathan David - 18,Thomas Kaminski,
3,Charleroi,29,15,9,5,49,23,+26,54,W D L W W,9830,Kaveh Rezaei - 12,Nicolas Penneteau,
4,Antwerp,29,15,8,6,49,32,+17,53,D D L W W,12664,Dieumerci Mbokani - 18,Sinan Bolat,
5,Standard Liège,29,14,7,8,47,32,+15,49,D W W L D,26349,Selim Amallah Maxime Lestienne... - 7,Arnaud Bodart,
6,Mechelen,29,13,5,11,46,43,+3,44,L W W W D,15655,Igor de Camargo - 10,Yannick Thoelen,
,,,,,,,,,,,,,,
7,Genk,29,13,5,11,45,42,+3,44,D L W L W,18903,Paul Onuachu - 9,Gaëtan Coucke,
8,Anderlecht,29,11,10,8,45,29,+16,43,D L W W W,19168,Michel Vlap - 10,Hendrik Van Crombrugge,
9,Zulte Waregem,29,10,6,13,41,49,-8,36,L L D D L,7910,Gianni Bruno - 9,Sammy Bossut,
10,Excel Mouscron,29,9,9,11,38,40,-2,36,W W L L W,3942,Stipe Perica - 7,Jean Butez,
11,Kortrijk,29,9,6,14,40,44,-4,33,W W L D L,6707,Ilombe Mboyo - 8,Sébastien Bruzzese,
12,Sint-Truiden,29,9,6,14,33,50,-17,33,W L L L D,5550,Yohan Boli - 10,Daniel Schmidt,
13,Eupen,29,8,6,15,28,51,-23,30,L L L W D,3249,Danijel Milićević - 5,Ortwin De Wolf,
14,Cercle Brugge,29,7,2,20,27,54,-27,23,W W W W L,4738,Stef Peeters - 6,Loic Badiashile,
15,Oostende,29,6,4,19,29,58,-29,22,L L D L L,4805,Fashion Sakala - 8,William Dutoit,
16,Waasland-Bev,29,5,5,19,21,60,-39,20,L L L L L,4322,Stefan Milošević Tuur Dierckx - 3,Nordin Jackers,
