Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,São Paulo,0,0,0,0,0,0,0,0,,,,,
2,Internacional,0,0,0,0,0,0,0,0,,,,,
3,Grêmio,0,0,0,0,0,0,0,0,,,,,
4,Santos,0,0,0,0,0,0,0,0,,,,,
5,Botafogo (RJ),0,0,0,0,0,0,0,0,,,,,
6,Atl Goianiense,0,0,0,0,0,0,0,0,,,,,
7,Bahia,0,0,0,0,0,0,0,0,,,,,
8,Atlético Mineiro,0,0,0,0,0,0,0,0,,,,,
9,Coritiba,0,0,0,0,0,0,0,0,,,,,
10,Flamengo,0,0,0,0,0,0,0,0,,,,,
11,Vasco da Gama,0,0,0,0,0,0,0,0,,,,,
12,Fluminense,0,0,0,0,0,0,0,0,,,,,
13,Corinthians,0,0,0,0,0,0,0,0,,,,,
14,Sport Recife,0,0,0,0,0,0,0,0,,,,,
15,Palmeiras,0,0,0,0,0,0,0,0,,,,,
16,Atl Paranaense,0,0,0,0,0,0,0,0,,,,,
17,Ceará,0,0,0,0,0,0,0,0,,,,,
18,Goiás,0,0,0,0,0,0,0,0,,,,,
19,Fortaleza,0,0,0,0,0,0,0,0,,,,,
20,Bragantino,0,0,0,0,0,0,0,0,,,,,
