Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Coventry City,34,18,13,3,48,30,18,67,W W D W W,6677,Matthew Godden - 14,Marko Maro\'9ai,\
2,Rotherham Utd,35,18,8,9,61,38,23,62,D W D D L,8906,Freddie Ladapo - 14,Daniel Iversen,\
3,Oxford United,35,17,9,9,61,37,24,60,W W W W W,7636,Matty Taylor - 13,Simon Eastwood,\
4,Portsmouth,35,17,9,9,53,36,17,60,L W W L D,17804,Ronan Curtis - 11,Craig MacGillivray,\
5,Fleetwood Town,35,16,12,7,51,38,13,60,W D W D D,3130,Paddy Madden - 15,Alex Cairns,\
6,P'borough Utd,35,17,8,10,68,40,28,59,W W L D W,7371,Ivan Toney - 24,Christy Pym,\
7,Sunderland,36,16,11,9,48,32,16,59,W D L D L,30118,Lynden Gooch - 11,Jon McLaughlin,\
8,Wycombe,34,17,8,9,45,40,5,59,W L W W L,5521,Adebayo Akinfenwa - 10,Ryan Allsop,\
9,Doncaster,34,15,9,10,51,33,18,54,W L L W W,8252,Kieran Sadlier - 11,Timothy Dieng,\
10,Ipswich Town,36,14,10,12,46,36,10,52,W L L L L,19549,Kayden Jackson James Norwood - 11,Tom\'e1\'9a Hol\'fd,\
11,Gillingham,35,12,15,8,42,34,8,51,W W D L D,5148,Alex Jakubiak - 6,Jack Bonham,\
12,Burton Albion,35,12,12,11,50,50,0,48,L W D L D,2986,Lucas Akins - 9,Kieran O'Hara,\
13,Blackpool,35,11,12,12,44,43,1,45,D W W D L,8770,Armand Gnanduillet - 15,Jak Alnwick,\
14,Bristol Rovers,35,12,9,14,38,49,-11,45,W L L L W,6943,Jonson Clarke-Harris - 13,Anssi Jaakkola,\
15,Lincoln City,35,12,6,17,44,46,-2,42,L D L D W,8986,Tyler Walker - 13,Josh Vickers,\
16,Shrewsbury,34,10,11,13,31,42,-11,41,L W L W L,6059,Daniel Udoh Jason Cummings... - 4,Max O'Leary,\
17,Acc'ton Stanley,35,10,10,15,47,53,-6,40,W L L D L,2862,Colby Bishop - 10,Dimitar Evtimov,\
18,MK Dons,35,10,7,18,36,47,-11,37,D W L D L,9246,Rhys Healey - 11,Lee Nicholls,\
19,Rochdale,34,10,6,18,39,57,-18,36,D L L L W,3632,Ian Henderson - 15,Robert Lynch Sanchez,\
20,AFC Wimbledon,35,8,11,16,39,52,-13,35,D L D W D,4383,Marcus Forss - 11,Nathan Trott,\
21,Tranmere Rovers,34,8,8,18,36,60,-24,32,D L W W W,6777,Morgan Ferrier - 5,Scott Davies,\
22,Southend United,35,4,7,24,39,85,-46,19,L L L L W,6192,Charlie Kelman Stephen Humphrys - 5,Mark Oxley,\
23,Bolton,34,5,11,18,27,66,-39,14,L L D D D,11511,Daryl Murphy - 8,Remi Matthews,12-point deduction 1\
24,Bury,0,0,0,0,0,0,0,-12,,,,,12-point deduction; expelled 2}
