Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Crewe Alexandra,37,20,9,8,67,43,24,69,L W D D W,4580,Chris Porter - 12,William J\'e4\'e4skel\'e4inen,\
2,Swindon Town,36,21,6,9,62,39,23,69,D W W W L,7788,Eoin Doyle - 25,Steven Benda,\
3,Plymouth Argyle,37,20,8,9,61,39,22,68,D D L W W,10338,Antoni Sarcevic - 10,Alex Palmer,\
4,Exeter City,37,18,11,8,53,43,10,65,W L D D L,4847,Ryan Bowman - 13,Lewis Ward,\
5,Cheltenham,36,17,13,6,52,27,25,64,W W W W D,3203,Ryan Broom - 8,Scott Flinders,\
6,Colchester Utd,37,15,13,9,52,37,15,58,L L W L W,3634,Theo Robinson - 11,Dean Gerken,\
7,Northampton,37,17,7,13,54,40,14,58,L W L W L,5101,Andy Williams Sam Hoskins - 8,David Cornell,\
8,Port Vale,37,14,15,8,50,44,6,57,W W D D D,4862,Richie Bennett Tom Pope - 6,Scott Brown,\
9,Bradford City,37,14,12,11,44,40,4,54,W L L W L,14309,James Vaughan - 11,Richard O'Donnell,\
10,Salford City,37,13,11,13,49,46,3,50,L W L W W,2997,Adam Rooney - 8,Kyle Letheren,\
11,FG Rovers,36,13,10,13,43,40,3,49,L L D L W,2542,Joseph Mills - 7,Lewis Thomas,\
12,Crawley Town,37,11,15,11,51,47,4,48,L D W D W,2232,Ollie Palmer - 13,Glenn Morris,\
13,Grimsby Town,37,12,11,14,45,51,-6,47,L W L L W,4599,James Hanson - 9,James McKeown,\
14,Walsall,36,13,8,15,40,49,-9,47,W D W D W,4664,Josh Gordon - 9,Liam Roberts,\
15,Newport County,36,12,10,14,32,39,-7,46,W L L W L,3867,P\'e1draig Amond - 8,Tom King,\
16,Cambridge Utd,37,12,9,16,40,48,-8,45,W W D L L,4178,Sam Smith Harvey Knibbs - 7,Dimitar Mitov,\
17,Leyton Orient,36,10,12,14,47,55,-8,42,D W L D W,5504,Josh Wright - 8,Dean Brill,\
18,Carlisle United,37,10,12,15,39,56,-17,42,D D W L W,4140,Olufela Olomola Harry McKirdy... - 5,Adam Collin,\
19,Oldham Athletic,37,9,14,14,44,57,-13,41,L D D W L,3466,Jonny Smith - 9,Zeus de la Paz,\
20,Scunthorpe Utd,37,10,10,17,44,56,-12,40,L W D L L,3546,Kevin van Veen - 10,Rory Watson,\
21,Mansfield Town,36,9,11,16,48,55,-7,38,D L W L W,4419,Nicky Maynard - 14,Conrad Logan,\
22,Macclesfield,37,7,15,15,32,47,-15,36,L D L L L,1998,Joe Ironside - 6,Owen Evans,\
23,Morecambe,37,7,11,19,35,60,-25,32,W L D D L,2264,Cole Stockton Lewis Alessandra - 5,Barry Roche,\
24,Stevenage,36,3,13,20,24,50,-26,22,L L L L L,2906,Charlie Carter Kurtis Guthrie - 5,Paul Farman,}
