Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Liverpool,29,27,1,1,66,21,45,82,56.4,29.3,27.1,0.93,W W W L W,53143,Mohamed Salah - 16,Alisson,\
2,Manchester City,28,18,3,7,68,31,37,57,65.3,26.2,39.1,1.4,W L W W L,54219,Sergio Ag\'fcero - 16,Ederson,\
3,Leicester City,29,16,5,8,58,28,30,53,47.1,35.3,11.8,0.41,D D L L W,32061,Jamie Vardy - 19,Kasper Schmeichel,\
4,Chelsea,29,14,6,9,51,39,12,48,50.2,28.1,22.1,0.76,D L W D W,40563,Tammy Abraham - 13,Kepa Arrizabalaga,\
5,Manchester Utd,29,12,9,8,44,30,14,45,44.3,29.4,14.8,0.51,D W W D W,72726,Marcus Rashford - 14,David de Gea,\
6,Wolves,29,10,13,6,41,34,7,43,38.9,27.9,11,0.38,D D W W D,31360,Ra\'fal Jim\'e9nez - 13,Rui Patr\'edcio,\
7,Sheffield Utd,28,11,10,7,30,25,5,43,33.7,33.9,-0.1,-0.01,L W W D W,30869,John Fleck Lys Mousset - 5,Dean Henderson,\
8,Tottenham,29,11,8,10,47,40,7,41,38.5,42.7,-4.2,-0.15,W W L L D,59384,Harry Kane - 11,Paulo Gazzaniga,\
9,Arsenal,28,9,13,6,40,36,4,40,36.2,40.7,-4.5,-0.16,D D W W W,60279,Pierre-Emerick Aubameyang - 17,Bernd Leno,\
10,Burnley,29,11,6,12,34,40,-6,39,33.3,36,-2.7,-0.09,D W W D D,20260,Chris Wood - 11,Nick Pope,\
11,Crystal Palace,29,10,9,10,26,32,-6,39,28.2,37.8,-9.6,-0.33,L L W W W,25060,Jordan Ayew - 8,Vicente Guaita,\
12,Everton,29,10,7,12,37,46,-9,37,41.5,37,4.5,0.15,W W L D L,39150,Dominic Calvert-Lewin - 13,Jordan Pickford,\
13,Newcastle Utd,29,9,8,12,25,41,-16,35,25.3,45.7,-20.4,-0.7,D L L D W,48248,Jonjo Shelvey - 5,Martin D\'fabravka,\
14,Southampton,29,10,4,15,35,52,-17,34,39.8,41,-1.2,-0.04,L L W L L,29675,Danny Ings - 15,Alex McCarthy,\
15,Brighton,29,6,11,12,32,40,-8,29,34.1,40.6,-6.5,-0.22,D D D L D,30358,Neal Maupay - 8,Mathew Ryan,\
16,West Ham,29,7,6,16,35,50,-15,27,33.1,53.3,-20.2,-0.7,D L L W L,59925,S\'e9bastien Haller - 7,\uc0\u321 ukasz Fabia\u324 ski,\
17,Watford,29,6,9,14,27,44,-17,27,34.3,43.8,-9.5,-0.33,L D L W L,20837,Troy Deeney - 6,Ben Foster,\
18,Bournemouth,29,7,6,16,29,47,-18,27,32.6,45.4,-12.8,-0.44,W L L D L,10510,Callum Wilson - 8,Aaron Ramsdale,\
19,Aston Villa,28,7,4,17,34,56,-22,25,31.1,57,-25.9,-0.93,W L L L L,41661,Jack Grealish - 7,Tom Heaton,\
20,Norwich City,29,5,6,18,25,52,-27,21,33.7,46.5,-12.8,-0.44,D L L W L,27025,Teemu Pukki - 11,Tim Krul,}
