Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Porto,24,19,3,2,50,16,+34,60,W W W W D,35625,Alex Telles - 8,Agustín Marchesín,
2,Benfica,24,19,2,3,52,14,+38,59,L L W D D,52479,Carlos - 16,Odisseas Vlachodimos,
3,Braga,24,14,4,6,41,26,+15,46,D W W W W,10587,Paulinho - 9,Matheus,
4,Sporting CP,24,13,3,8,37,26,+11,42,W D W L W,30234,Bruno Fernandes - 8,Luís Maximiano,
5,Rio Ave,24,10,8,6,32,23,+9,38,W D W D D,2604,Mehdi Taremi - 8,Paweł Kieszek,
6,Vitória,24,10,7,7,40,25,+15,37,W L W W W,16910,João Carlos Teixeira - 6,Douglas,
7,Famalicão,24,10,7,7,38,40,-2,37,L D L W D,4149,Toni Martínez - 8,Rafael Defendi,
8,Moreirense,24,7,9,8,34,32,+2,30,D D W D W,2229,Fábio Abreu - 10,Mateus Pasinato,
9,Santa Clara,24,8,6,10,19,26,-7,30,W W L L D,3150,Carlos - 4,Marco André Rocha Pereira,
10,Gil Vicente FC,24,7,9,8,25,29,-4,30,D W L W D,5487,Sandro Lima - 10,Denis,
11,Boavista,24,7,8,9,19,23,-4,29,W L L L D,12088,Nikola Stojiljković Heriberto Tavares... - 2,Rafael Bracalli,
12,Vitória Setúbal,24,6,10,8,17,27,-10,28,D L L D D,4630,Carlinhos - 3,Giorgi Makaridze,
13,Belenenses,24,7,5,12,19,38,-19,26,L W W D D,3603,Licá - 6,André Moreira,
14,Tondela,24,6,7,11,20,30,-10,25,D L L L D,2403,Denílson - 3,Cláudio Ramos,
15,Marítimo,24,5,9,10,22,32,-10,24,D W L L L,6068,Rodrigo Pinho - 5,Amir Abedzadeh,
16,Paços,24,6,4,14,18,34,-16,22,L L W W L,3233,Douglas Tanque - 5,Ricardo Ribeiro,
17,Portimonense,24,2,10,12,16,34,-18,16,L D L D L,3155,Dener - 4,Ricardo Abel Barbosa Ferreira,
18,Aves,24,4,1,19,23,47,-24,13,L D L L L,1969,Mehrdad Mohammadi Welinton Júnior - 7,Quentin Beunardeau,
