Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Celtic,30,26,2,2,89,19,+70,80,W W W D W,57944,Odsonne Édouard - 21,Fraser Forster,
2,Rangers,29,21,4,4,64,19,+45,67,L W D L W,49238,Jermain Defoe - 13,Allan McGregor,
3,Motherwell,30,14,4,12,41,38,+3,46,L D L W D,5575,Chris Long Liam Donnelly - 7,Mark Gillespie,
4,Aberdeen,30,12,9,9,40,36,+4,45,W L L D W,13836,Sam Cosgrove - 11,Joe Lewis,
5,Livingston,30,10,9,11,41,39,+2,39,W L D D L,3542,Lyndon Dykes - 9,Matija Šarkić,
6,Hibernian,30,9,10,11,42,49,-7,37,W W D L L,16662,Christian Doidge - 12,Ofir Marciano,
,,,,,,,,,,,,,,
7,St Johnstone,29,8,12,9,28,46,-18,36,W D D D W,4091,Callum Hendry - 7,Zander Clark,
8,Kilmarnock,30,9,6,15,31,41,-10,33,W L L D L,5856,Eamonn Brophy - 9,Laurențiu Brănescu,
9,St Mirren,30,7,8,15,24,41,-17,29,L W D L W,5376,Jonathan Obika - 8,Václav Hladký,
10,Ross County,30,7,8,15,29,60,-31,29,L D W L L,4665,Billy Mckay Ross Stewart - 7,Ross Laidlaw,
11,Hamilton,30,6,9,15,30,50,-20,27,L D D W W,2565,Marios Ogkmpoe - 6,Luke Southwood Owain Fôn Williams,
12,Hearts,30,4,11,15,31,52,-21,23,L D W D L,16751,Steven Naismith Sean Clare - 4,Joel Castro Pereira,
