Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Trabzonspor,26,15,8,3,59,28,+31,53,D W D W D,,Alexander Sørloth - 19,Uğurcan Çakır,
2,Başakşehir,26,15,8,3,50,25,+25,53,W W W W D,,Demba Ba Enzo Crivelli - 10,Mert Günok,
3,Galatasaray,26,14,8,4,44,20,+24,50,W W W D D,,Radamel Falcao - 9,Fernando Muslera,
4,Sivasspor,26,14,7,5,47,29,+18,49,L W W D L,,Mustapha Yatabaré - 11,Mamadou Samassa,
5,Beşiktaş,26,13,5,8,40,32,+8,44,L D W W D,25913,Burak Yılmaz - 11,Loris Karius,
6,Alanyaspor,26,12,7,7,44,25,+19,43,L L L D W,4895,Papiss Cissé - 16,José Carlos Marafona,
7,Fenerbahçe,26,11,7,8,46,34,+12,40,L L D D L,43478,Vedat Muriqi - 13,Altay Bayındır,
8,Göztepe,26,10,7,9,31,30,+1,37,D L L L W,,Serdar Gürler - 6,Beto,
9,Gaziantep FK,26,8,8,10,36,41,-5,32,W D L D L,4684,Olarenwaju Kayode - 9,Günay Güvenç,
10,Denizlispor,26,8,7,11,26,34,-8,31,L L W D W,11311,Hugo Rodallega - 6,Adam Stachowiak,
11,Antalyaspor,26,7,9,10,29,43,-14,30,W W D D W,10763,Gustavo Blanco Leschuk Serdar Özkan... - 3,Ruud Boffin,
12,Gençlerbirliği,26,7,7,12,33,44,-11,28,W W L D L,,Bogdan Stancu - 12,Ertaç Özbir,
13,Konyaspor,26,5,11,10,21,33,-12,26,L D D D W,,Farouk Miya - 5,Serkan Kırıntılı,
14,Kasımpaşa,26,7,5,14,38,50,-12,26,L W D W W,5276,Bengali-Fodé Koita - 7,Fatih Öztürk,
15,Rizespor,26,7,4,15,26,44,-18,25,L L D L L,,Braian Samudio Milan Škoda... - 4,Gökhan Akkan,
16,Yeni Mal'spor,26,6,7,13,38,40,-2,25,L L D L L,,Adis Jahović - 11,Fabien Farnolle,
17,Ankaragücü,26,5,8,13,23,45,-22,23,W L L L W,,İlhan Parlak - 6,Korcan Çelikay,
18,Kayserispor,26,5,7,14,28,62,-34,22,W D W L W,6198,Pedro Henrique - 8,Silviu Lung Jr.,
