Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes\
1,Saint Louis,1,1,0,0,4,1,3,3,W,4019,Russell Cicerone - 2,Kyle Morton,\
2,Indy Eleven,1,1,0,0,4,2,2,3,W,,Tyler Pasher - 2,Evan Newton,\
3,Charlotte,1,1,0,0,2,1,1,3,W,,Derek Gebhard Dane Kelly - 1,Brandon Miller,\
4,Tampa Bay,1,1,0,0,1,0,1,3,W,,Leo Fernandes - 1,Evan Louro,\
5,Charleston,1,1,0,0,1,0,1,3,W,,Zeiko Lewis - 1,Philip Breno,\
6,Louisville City,1,1,0,0,1,0,1,3,W,,Cameron Lancaster - 1,Benjamin Lundt,\
7,Union II,1,0,1,0,0,0,0,1,D,467,,Matt Freese,\
8,Loudoun Utd,1,0,1,0,0,0,0,1,D,,,Colin Miller,\
9,Pittsburgh Riverhounds,0,0,0,0,0,0,0,0,,,,,\
10,Birmingham Legion,0,0,0,0,0,0,0,0,,,,,\
11,Hartford Athletic,0,0,0,0,0,0,0,0,,,,,\
12,Sporting KC II,1,0,0,1,1,2,-1,0,L,691,,Richard S\'e1nchez,\
13,N Carolina,1,0,0,1,0,1,-1,0,L,3515,,Alexandros Tabakis,\
14,Red Bulls II,1,0,0,1,0,1,-1,0,L,1002,,Wallis Lapsley,\
15,Atlanta 2,1,0,0,1,0,1,-1,0,L,851,,Ben Lundgaard,\
16,Memphis,1,0,0,1,2,4,-2,0,L,8571,Zach Carroll Brandon Allen - 1,Tim Howard,\
17,Miami FC,1,0,0,1,1,4,-3,0,L,,Romario Williams - 1,Brian Sylvestre,\
1,San Diego Loyal SC,2,1,1,0,3,2,1,4,D W,6100,Francis Atuahene - 2,Jon Kempin Jake Fenlason,\
2,Phx Rising,1,1,0,0,6,1,5,3,W,6585,Rufat Dadashov - 3,Zac Lubin,\
3,LA Galaxy II,1,1,0,0,5,1,4,3,W,,Kai Koreniuk - 2,Eric Lopez,\
4,Reno,1,1,0,0,3,1,2,3,W,,Christiano Fran\'e7ois Gilbert Fuentes... - 1,J.T. Marcinkowski,\
5,Switchbacks,1,1,0,0,2,1,1,3,W,,Christian Volesky - 1,Sean Melvin,\
6,San Antonio,1,1,0,0,1,0,1,3,W,7020,Callum Montgomery - 1,Matt Cardone,\
7,Austin,1,1,0,0,1,0,1,3,W,2496,Andr\'e9 Lima - 1,Diego Restrepo,\
8,Sacramento,1,0,1,0,1,1,0,1,D,11569,Drew Skundrich - 1,Adam Grinwis,\
9,FC Tulsa,1,0,1,0,1,1,0,1,D,,Rodrigo Da Costa - 1,Sean Lewis,\
10,LV Lights FC,1,0,1,0,1,1,0,1,D,,Junior Burgos - 1,Edward Delgado,\
11,Orange County,1,0,1,0,0,0,0,1,D,3188,,Aaron Cervantes,\
12,El Paso,1,0,1,0,0,0,0,1,D,,,Logan Ketterer,\
13,OKC Energy,1,0,0,1,1,2,-1,0,L,4067,Atiba Harris - 1,C. J. Cochran,\
14,Real Monarchs,1,0,0,1,0,1,-1,0,L,,,David Ochoa,\
15,New Mexico Utd,1,0,0,1,0,1,-1,0,L,,,Cody Mizell,\
16,Tacoma,2,0,0,2,2,5,-3,0,L L,2178,Christopher Hegardt Justin Dhillon - 1,Trey Muse,\
17,RGV Toros,1,0,0,1,1,5,-4,0,L,2300,Luka Prpa - 1,Paul Blanchette,\
18,Timbers 2,1,0,0,1,1,6,-5,0,L,,Tom\'e1s Conechny - 1,Hunter Sulte,}
