Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Rentistas,3,3,0,0,9,3,+6,9,W W W,,Renato César - 3,Yonatan Irrazábal,
2,Progreso,3,1,2,0,6,4,+2,5,W D D,,Alex Maximiliano Silva Nahuel Roldán - 2,Nicola Pérez,
3,Defensor,3,1,2,0,3,2,+1,5,D W D,,Facundo Osorio Juan Ángel Albín... - 1,Matías Castro,
4,Cerro Largo,3,1,2,0,3,2,+1,5,W D D,,Hugo Dorrego Enzo Borges... - 1,Washington Aguerre,
5,Wanderers,3,1,2,0,3,2,+1,5,D W D,,Matías Acuña - 2,Ignacio De Arruabarrena,
6,Liverpool,3,1,2,0,3,2,+1,5,W D D,,Alan Medina Hernán Figueredo... - 1,Andrés Mehring,
7,Torque,3,1,1,1,5,5,0,4,L W D,,Gustavo Del Prete - 2,Cristopher Fiermarin,
8,Boston River,3,1,1,1,4,4,0,4,W L D,,Facundo Rodríguez Nicolás Freitas... - 1,Gonzalo Falcón,
9,Peñarol,3,1,1,1,4,4,0,4,W L D,,Jesús Trindade Xisco... - 1,Kevin Dawson,
10,River Plate,3,0,3,0,3,3,0,3,D D D,,José Neris - 2,Gastón Olveira,
11,Plaza Colonia,3,0,2,1,3,4,-1,2,L D D,,Leandro Suhr Juan Cruz Mascia... - 1,Nicolás Guirin,
12,Cerro,3,0,2,1,2,3,-1,2,L D D,,José Luis Tancredi Leandro Paiva - 1,Rodrigo Formento,
13,Nacional,3,0,2,1,4,6,-2,2,L D D,,Gonzalo Bergessio - 2,Luis Mejía,
14,Fénix,3,0,2,1,4,6,-2,2,D L D,,Ignacio Pereira Agustín Canobbio - 2,Ernesto Hernández,
15,Danubio,3,0,1,2,1,3,-2,1,L L D,,Luciano Nequecaur - 1,Emiliano Denis,
16,Deportivo Maldonado,3,0,1,2,3,7,-4,1,L D L,,Marcos Cantera Matías Tellechea... - 1,Danilo Lerda,
